country,SuicideRate_BothSexes_RatePer100k_2021,SuicideRate_Male_RatePer100k_2021,SuicideRate_Female_RatePer100k_2021,SuicideRate_BothSexes_RatePer100k_2020,SuicideRate_Male_RatePer100k_2020,SuicideRate_Female_RatePer100k_2020,SuicideRate_BothSexes_RatePer100k_2019,SuicideRate_Male_RatePer100k_2019,SuicideRate_Female_RatePer100k_2019,latitude,longitude
India,13.33,15.7,10.85,13.28,15.7,10.73,12.7,14.1,11.1,22.3511148,78.6677428
China,9.17,10.64,7.63,9.04,10.52,7.5,8.1,9.8,6.2,35.0000663,104.999955
United States,15.25,24.13,6.66,15.38,24.33,6.73,16.1,25.0,7.5,39.7837304,-100.445882
Indonesia,1.64,2.21,1.05,1.66,2.23,1.07,2.4,3.7,1.1,-2.4833826,117.8902853
Pakistan,5.82,8.46,3.05,5.89,8.54,3.1,8.9,13.3,4.3,30.3308401,71.247499
Nigeria,4.27,7.22,1.56,4.3,7.28,1.55,3.5,5.0,1.9,9.6000359,7.9999721
Brazil,7.78,12.47,3.3,7.75,12.46,3.25,6.9,10.9,3.0,-10.3333333,-53.2
Bangladesh,3.67,5.18,2.21,3.7,5.18,2.26,3.7,5.7,1.7,24.4769288,90.2934413
Russia,24.1,41.82,8.66,24.25,42.42,8.44,25.1,43.6,9.1,64.6863136,97.7453061
Ethiopia,6.17,9.4,2.88,6.12,9.34,2.84,5.4,7.7,3.1,10.2116702,38.6521203
Mexico,6.84,11.51,2.38,6.73,11.3,2.36,5.3,8.5,2.2,23.6585116,-102.0077097
Japan,17.47,25.2,10.12,17.53,25.4,10.05,15.3,21.8,9.2,36.5748441,139.2394179
Egypt,1.01,1.48,0.5,1.02,1.5,0.51,3.0,4.0,2.0,26.2540493,29.2675469
Philippines,3.77,6.04,1.44,3.59,5.69,1.43,2.2,3.1,1.2,12.7503486,122.7312101
DR Congo,8.12,12.39,3.77,8.08,12.32,3.76,6.7,10.6,2.8,-2.9814344,23.8222636
Vietnam,8.01,10.97,5.07,8.02,10.98,5.07,7.5,10.4,4.7,15.9266657,107.9650855
Iran,4.34,6.46,2.16,4.38,6.52,2.17,5.2,7.7,2.8,32.6475314,54.5643516
Turkey,3.84,6.02,1.65,3.82,5.95,1.68,2.4,3.6,1.2,38.9597594,34.9249653
Germany,12.31,18.9,5.77,12.58,19.33,5.9,12.3,18.6,6.2,51.1638175,10.4478313
Thailand,12.0,20.1,4.44,11.95,19.98,4.44,8.8,15.0,2.9,14.8971921,100.83273
United Kingdom,8.47,13.18,3.93,8.29,12.89,3.85,7.9,11.8,4.0,54.7023545,-3.2765753
Tanzania,5.66,8.9,2.59,5.65,8.86,2.6,4.3,6.6,2.0,-6.5247123,35.7878438
France,13.72,22.01,5.92,14.27,22.87,6.17,13.8,20.4,7.6,46.603354,1.8883335
South Africa,15.3,25.55,5.46,15.1,25.24,5.35,23.5,37.6,9.8,-28.8166236,24.991639
Italy,6.44,10.37,2.72,6.22,10.01,2.63,6.7,10.1,3.5,42.6384261,12.674297
Kenya,6.82,10.53,3.16,6.84,10.54,3.18,6.1,9.1,3.2,1.4419683,38.4313975
Myanmar,3.57,6.06,1.26,3.56,6.02,1.27,2.9,4.9,1.1,17.1750495,95.9999652
Colombia,6.74,11.09,2.57,6.77,11.07,2.63,3.9,6.1,1.8,4.099917,-72.9088133
South Korea,25.81,36.96,14.58,25.63,36.61,14.56,28.6,40.2,16.9,36.638392,127.6961188
Sudan,4.28,5.41,3.11,4.34,5.44,3.2,3.8,4.9,2.8,14.5844444,29.4917691
Uganda,5.84,9.79,2.01,5.88,9.86,2.01,4.6,7.6,1.7,1.5333554,32.2166578
Spain,7.73,11.86,3.78,7.55,11.58,3.69,7.7,11.4,4.2,39.3260685,-4.8379791
Algeria,2.76,3.6,1.9,2.76,3.59,1.91,2.5,3.1,1.8,28.0000272,2.9999825
Iraq,4.41,6.55,2.12,4.44,6.56,2.16,3.6,5.2,2.0,33.0955793,44.1749775
Argentina,10.47,17.29,3.99,11.01,18.19,4.17,8.4,13.7,3.3,-34.9964963,-64.9672817
Afghanistan,3.6,4.16,3.01,3.63,4.18,3.04,4.1,4.6,3.6,33.7680065,66.2385139
Yemen,3.56,4.63,2.46,3.56,4.61,2.48,5.8,7.0,4.6,16.3471243,47.8915271
Canada,12.51,19.43,5.77,12.84,19.98,5.9,11.8,17.6,6.1,61.0666922,-107.991707
Poland,15.15,27.27,3.79,15.21,27.44,3.74,11.3,20.1,3.1,52.215933,19.134422
Morocco,3.68,4.28,3.07,3.67,4.23,3.09,7.2,9.7,4.7,31.1728205,-7.3362482
Angola,6.95,11.28,2.87,6.9,11.2,2.85,6.1,10.0,2.3,-11.8775768,17.5691241
Ukraine,23.17,41.4,7.43,22.9,40.96,7.32,21.6,39.2,6.5,49.4871968,31.2718321
Uzbekistan,8.96,12.29,5.65,9.12,12.4,5.85,8.0,11.3,4.8,41.32373,63.9528098
Malaysia,5.17,8.0,2.13,4.55,6.98,1.95,5.7,8.9,2.3,4.5693754,102.2656823
Mozambique,9.28,15.86,3.17,9.44,16.17,3.19,13.6,22.0,5.7,-19.302233,34.9144977
Ghana,5.68,9.21,2.34,5.78,9.33,2.41,6.6,11.8,1.2,8.0300284,-1.0800271
Peru,2.9,4.35,1.43,2.97,4.44,1.48,2.8,4.2,1.4,-6.8699697,-75.0458515
Saudi Arabia,7.87,10.95,3.55,7.86,10.92,3.56,6.0,8.9,2.0,25.6242618,42.3528328
Madagascar,6.31,9.05,3.64,6.25,8.97,3.6,5.5,7.6,3.4,-18.9249604,46.4416422
Ivory Coast,7.05,11.52,2.28,7.13,11.65,2.29,8.9,14.9,2.8,7.9897371,-5.5679458
Nepal,13.07,18.26,8.37,12.97,17.99,8.41,9.0,16.4,2.7,28.3780464,83.9999901
Cameroon,7.16,11.35,2.97,7.2,11.43,2.99,9.0,13.6,4.4,4.6125522,13.1535811
Venezuela,8.11,14.2,2.41,8.06,14.08,2.39,2.1,3.5,0.7,8.0018709,-66.1109318
Niger,3.55,4.6,2.52,3.59,4.66,2.53,5.3,7.2,3.3,17.7356214,9.3238432
Australia,12.86,19.8,6.08,12.87,19.73,6.17,12.5,18.6,6.4,-24.7761086,134.755
North Korea,10.88,12.25,9.52,10.87,12.2,9.55,9.4,11.2,7.6,40.3736611,127.0870417
Syria,0.89,1.44,0.39,0.89,1.43,0.39,2.0,3.2,0.7,34.6401861,39.0494106
Mali,4.09,5.24,2.96,4.14,5.3,2.99,4.1,5.3,2.9,16.3700359,-2.2900239
Burkina Faso,6.56,10.43,2.93,6.6,10.5,2.95,7.5,11.3,3.7,12.0753083,-1.6880314
Taiwan,16.04,21.9,10.29,15.87,21.56,10.28,,,,23.9739374,120.9820179
Sri Lanka,16.27,26.45,6.78,14.86,23.88,6.43,14.0,22.3,6.2,7.5554942,80.7137847
Malawi,8.31,13.84,3.05,837.0,13.96,3.06,5.4,9.2,1.7,-13.2687204,33.9301963
Zambia,8.16,13.42,2.99,8.28,13.63,3.02,7.3,12.0,2.7,-14.5189121,27.5589884
Kazakhstan,18.2,30.96,6.19,18.03,30.58,6.22,17.6,29.0,6.8,48.1012954,66.7780818
Chad,5.43,7.88,3.0,5.44,7.91,3.0,6.4,9.6,3.3,15.6134137,19.0156172
Chile,10.61,17.78,3.66,10.41,17.43,3.6,9.0,14.9,3.2,-31.7613365,-71.3187697
Romania,10.76,18.54,3.4,10.6,18.3,3.32,9.7,16.5,3.3,45.9852129,24.6859225
Somalia,5.78,7.11,4.39,5.85,7.2,4.45,7.9,12.0,3.8,8.3676771,49.083416
Senegal,7.58,11.87,3.25,7.68,12.03,3.3,6.0,9.2,3.0,14.4750607,-14.4529612
Guatemala,5.43,8.45,2.59,5.42,8.41,2.6,5.9,9.4,2.6,15.5855545,-90.345759
Netherlands,11.23,15.24,7.28,11.27,15.25,7.34,11.8,15.5,8.3,52.2434979,5.6343227
Ecuador,8.51,13.53,3.54,8.4,13.34,3.51,7.6,11.6,3.6,-1.3397668,-79.3666965
Cambodia,4.54,6.46,2.7,4.53,6.42,2.7,4.9,7.0,2.8,12.5433216,104.8144914
Zimbabwe,17.61,26.57,9.32,17.56,26.5,9.25,14.1,20.0,8.8,-18.4554963,29.7468414
Guinea,5.02,6.89,3.26,5.09,6.99,3.3,7.0,9.2,4.9,10.7226226,-10.7083587
Benin,5.32,8.32,2.41,5.38,8.43,2.43,7.8,11.8,3.8,9.5293472,2.2584408
Rwanda,7.36,11.13,3.79,7.35,11.11,3.79,5.6,8.2,3.0,-1.9646631,30.0644358
Burundi,7.13,10.94,3.3,7.14,10.96,3.31,6.2,9.2,3.4,-3.426449,29.9324519
Bolivia,5.53,7.61,3.44,5.55,7.61,3.48,6.2,8.4,4.1,-17.0568696,-64.9912286
Tunisia,3.06,4.41,1.73,3.06,4.39,1.74,3.3,4.7,1.9,33.8439408,9.400138
South Sudan,8.03,12.19,3.84,8.14,12.45,3.8,3.9,5.7,2.0,7.8699431,29.6667897
Haiti,7.18,10.28,4.2,7.16,10.22,4.23,9.6,11.8,7.6,19.1399952,-72.3570972
Belgium,17.3,25.49,9.36,15.93,23.33,8.75,18.3,24.9,11.8,50.6402809,4.6667145
Jordan,1.07,1.6,0.46,1.06,1.59,0.46,1.6,2.5,0.7,31.1667049,36.941628
Dominican Republic,5.39,8.73,2.02,5.41,8.69,2.09,4.9,8.0,1.8,19.0974031,-70.3028026
United Arab Emirates,2.37,2.79,1.3,2.69,3.16,1.48,6.4,8.0,3.0,24.0002488,53.9994829
Cuba,15.83,25.07,6.71,15.86,25.06,6.75,14.5,23.0,6.0,23.0131338,-80.8328748
Honduras,3.9,6.47,1.48,3.9,6.45,1.48,2.1,3.3,0.8,15.2572432,-86.0755145
Czech Republic,12.56,20.54,4.82,12.56,20.59,4.78,12.2,19.8,4.8,49.7439047,15.3381061
Sweden,12.32,16.76,7.82,12.98,17.83,8.06,14.7,19.9,9.5,59.6749712,14.5208584
Tajikistan,3.37,4.91,1.79,3.41,4.95,1.83,4.3,5.7,2.8,38.6281733,70.8156541
Papua New Guinea,2.28,2.84,1.67,2.32,2.89,1.71,3.0,4.3,1.6,-5.6816069,144.2489081
Portugal,11.62,18.25,5.63,11.66,18.35,5.61,11.5,17.9,5.7,39.6621648,-8.1353519
Azerbaijan,2.5,3.91,1.08,2.48,3.87,1.09,4.1,6.6,1.6,40.3936294,47.7872508
Greece,5.22,8.65,1.98,5.23,8.69,1.97,5.1,8.4,1.9,38.9953683,21.9877132
Hungary,16.91,26.39,8.27,17.01,26.57,8.31,16.6,25.9,8.3,47.1817585,19.5060937
Togo,7.88,12.41,3.54,7.89,12.42,3.53,8.8,13.8,3.9,8.7800265,1.0199765
Israel,5.15,8.36,1.97,5.36,8.7,2.04,5.3,8.4,2.3,30.8124247,34.8594762
